,economy,year,renew_energy_pct,gdp_per_energy_ppp,fossil_energy_pct,elec_use_kwh_pc,co2_total_mt,gdp_deflator_infl_pct,gdp_usd_current,gdp_usd,pop_growth_pct,population_total,urban_pop_pct
4470,LAC,2015,29.3653339575074,11.3436142440268,72.0648659174075,2102.11374460031,1518.9896,2.99191048032664,4577965121206.66,4577965121206.66,0.987219044357877,551075145.0,79.2919206746314
4471,LAC,2016,30.0701319995524,11.7249984446765,71.2121115391138,2106.2929584818,1494.6577,3.62171531358905,4438012803116.89,4553201457608.69,0.968867581997998,556440282.0,79.5663110301781
4472,LAC,2017,30.6421659951186,12.3167548020143,70.5241997741741,2103.94234376761,1492.9542,3.78943422081865,4951480879885.32,4643234173169.45,0.986579805618004,561957179.0,79.8363374785181
4473,LAC,2018,31.4749268035603,12.9834743412665,69.5379699855807,2171.364837447,1453.6347,2.46783693424363,4807492365803.41,4715322536799.44,1.01871134516066,567711159.0,80.1027920682901
4474,LAC,2019,31.7254596724351,13.1974620650692,69.3805958301086,2153.30268196602,1460.816,3.34313691610601,4739266496719.49,4743615766088.09,0.981674474785563,573311679.0,80.3673865463117
4475,LAC,2020,34.931181287891,13.5383983040087,67.2466511158326,2073.66842582136,1334.9792,3.13715215892964,3984427319010.97,4434160816743.52,0.830265805089342,578091505.0,80.6299945481018
4476,LAC,2021,,14.3896659531972,69.4699745838441,2232.24139014022,1468.3398,5.91338079565489,4629099312241.86,4738805598953.66,0.65393428465421,581884231.0,80.8894314614173
4477,LAC,2022,,16.008394340113,68.3841322921014,2177.24560356877,1467.5536,8.00322041988672,5325687016147.01,4921332047465.75,0.644881793607611,585648822.0,81.1442610510058
4478,LAC,2023,,,64.6986273271196,,1500.7733,5.91734981317416,5997364907507.01,5029038817710.75,0.721497404498383,589889543.0,81.395321047644
4479,LAC,2024,,,,,,4.935408692579,6146374383733.38,5130228804879.38,0.721104692801389,594158638.0,81.6454505574133
4480,LAO,1990,88.4,,,,0.2576,37.907380761807,865559879.400406,2736044527.0661,2.84582324059542,4311955.0,15.437
4481,LAO,1991,88.0,,,,0.315,12.9717603920705,1028087972.31085,2853600421.42037,2.81628243868286,4435118.0,15.782
4482,LAO,1992,87.0,,,,0.3474,5.99384147677743,1127806944.61513,3012256546.1234,2.769076698737,4559646.0,16.133
4483,LAO,1993,86.7,,,,0.3661,11.1825793452992,1327748689.88094,3190357917.97419,2.71337335048279,4685060.0,16.49
4484,LAO,1994,86.3,,,,0.4038,7.70059550868136,1543606345.11684,3450659811.76174,2.61561863671144,4809220.0,16.854
4485,LAO,1995,85.6,,,,0.3965,19.6853644196947,1763536304.53964,3693284478.98933,2.46841937666729,4929409.0,17.378
4486,LAO,1996,84.9,,,,0.4652,13.7252122556336,1873671550.34636,3949167183.90196,2.33129326891339,5045678.0,18.234
4487,LAO,1997,84.6,,,,0.5142,19.3528167277303,1747011857.33107,4220557557.23225,2.08550886313317,5152011.0,19.12
4488,LAO,1998,86.6,,,,0.5513,84.5044589007367,1280177838.71905,4388012740.39955,1.85106124399662,5248266.0,20.039
4489,LAO,1999,86.6,,,,0.5347,127.97396639694,1454430642.44959,4708617453.27328,1.74747223421126,5340784.0,20.991
4490,LAO,2000,81.5,6.0435107465612,17.45,117.653297275083,0.9345,24.7977766095657,1731198022.46763,4981659930.07599,1.67898547843134,5431212.0,21.977
4491,LAO,2001,81.1,6.25176501329582,18.51,128.76977594059,1.0291,8.86807380365211,1768619058.34647,5268175760.92381,1.64839890567014,5521482.0,22.993
4492,LAO,2002,80.2,6.53698256278732,18.81,136.698480401234,1.1544,6.31846474098954,1758176653.07746,5579985581.01999,1.60628714871708,5610889.0,24.044
4493,LAO,2003,78.7,6.85037229989065,19.03,154.968150798226,1.2,13.450089840918,2023324407.28414,5918523434.75225,1.53964095162728,5697945.0,25.126
4494,LAO,2004,74.0,7.25698207280233,19.33,156.184436696528,1.258,10.6904285437007,2366398119.86321,6294805131.65111,1.45793744820894,5781626.0,26.242
4495,LAO,2005,73.9,7.7556055941104,19.62,172.075311741687,1.3026,8.64032248095118,2735558734.7379,6742212710.02267,1.50884118892528,5869523.0,27.186
4496,LAO,2006,69.8,7.94738571389814,23.15,235.77944727663,1.7086,10.8051012263872,3455030060.9785,7323341971.83126,1.58338798520366,5963200.0,27.748
4497,LAO,2007,70.7,8.00472562932519,22.03,266.83240217191,1.806,7.43828600469453,4223152739.04052,7879683723.91001,1.54812352499039,6056236.0,28.316
4498,LAO,2008,69.3,8.04114974426413,23.91,311.759581159053,2.1095,8.86345063797221,5446433157.40114,8496261313.36707,1.5195940495706,6148969.0,28.893
4499,LAO,2009,66.4,8.29245724625087,26.43,361.763779467006,2.6407,-2.93207353184403,5836137329.63305,9133631713.05317,1.49588633029834,6241642.0,29.475
4500,LAO,2010,64.8,8.86821046958525,28.41,385.526556338502,2.9614,9.19657111138675,7131771014.70456,9912447859.53224,1.47192872108695,6334194.0,30.064
4501,LAO,2011,63.6,9.66413858533268,29.91,397.566983423557,3.1262,10.4687175993929,8750104617.17303,10709275115.0696,1.44814949802327,6426590.0,30.66
4502,LAO,2012,62.4,11.1051144635354,31.2,471.699705076471,3.3357,7.52885930495688,10192846339.4029,11568812077.4386,1.42735442034268,6518978.0,31.264
4503,LAO,2013,58.6,11.7051775433262,33.96,511.390578524772,3.9442,6.47397208343337,11983252626.5452,12497359667.4702,1.40755477426746,6611385.0,31.872
4504,LAO,2014,58.2,12.6551702979591,34.25,565.702327196736,4.3873,5.72655918174564,13279245886.3854,13448654116.2974,1.37876842701215,6703172.0,32.487
4505,LAO,2015,53.3,10.1040473214634,50.96,623.08456263154,8.9274,2.34849600685918,14426380125.6488,14426380125.6488,1.45836474920589,6801645.0,33.108
4506,LAO,2016,51.7,8.94144013882754,70.96,796.954377908066,15.8709,3.02230644256338,15912501722.6143,15439521179.3987,1.56317561333482,6908802.0,33.736
4507,LAO,2017,50.6,8.79717149180061,78.07,758.889775321036,19.2441,1.85209676121123,17071155481.4994,16503694943.2856,1.57029722559747,7018147.0,34.368
4508,LAO,2018,50.2,9.2902737966046,78.72,841.184364015659,19.8621,1.91988919391754,18141641089.7963,17534839203.1116,1.55377801997365,7128045.0,35.004
